"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 28 19:16:26 IDT 2022","Tue Jun 28 19:16:33 IDT 2022","6754","Web Suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","Test04_VerifyUserDeletion","Test04 - verify User Deletion","This test verifies deletion of a user "
"passed","Tue Jun 28 19:16:47 IDT 2022","Tue Jun 28 19:16:51 IDT 2022","4115","Web Suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","Test07_searchUsers","Test07 - Search Users","This test Search Users in a table using DDT"
"passed","Tue Jun 28 20:26:01 IDT 2022","Tue Jun 28 20:26:01 IDT 2022","370","Electron Suite","Electron Tests","sanity.TodoListElectron","sanity.TodoListElectron","Test01_AddAndVerifyNewTask","Test01 - Add And Verify New Task ","This test adds a new task and verifies it in the list of tasks "
"passed","Tue Jun 28 19:16:23 IDT 2022","Tue Jun 28 19:16:25 IDT 2022","2145","Web Suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","Test03_VerifyNewUser","Test03 - verify New User","This test verifies new user been added "
"passed","Tue Jun 28 20:26:06 IDT 2022","Tue Jun 28 20:26:12 IDT 2022","5556","Electron Suite","Electron Tests","sanity.TodoListElectron","sanity.TodoListElectron","Test02_AddAndVerifyNewTask","Test02 - Add And Verify New Task ","This test adds a new task and verifies it in the list of tasks "
"passed","Tue Jun 28 19:16:34 IDT 2022","Tue Jun 28 19:16:34 IDT 2022","218","Web Suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","Test05_verifyBasicSteps","Test05 - verify Basic Steps","This test verifies the defult basic steps are displayed (using soft assertion)"
"passed","Tue Jun 28 19:16:20 IDT 2022","Tue Jun 28 19:16:22 IDT 2022","1624","Web Suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","Test01_VerifyHeader","Test01 - verify Header","This Test verifies the header"
"passed","Tue Jun 28 19:16:34 IDT 2022","Tue Jun 28 19:16:47 IDT 2022","12631","Web Suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","Test07_searchUsers","Test07 - Search Users","This test Search Users in a table using DDT"
"passed","Tue Jun 28 19:16:22 IDT 2022","Tue Jun 28 19:16:23 IDT 2022","682","Web Suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","Test02_VerifyDefultUsers","Test02 - verify Defult Users","This test verifies the defult users "
"passed","Tue Jun 28 19:16:51 IDT 2022","Tue Jun 28 19:17:04 IDT 2022","12494","Web Suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","Test07_searchUsers","Test07 - Search Users","This test Search Users in a table using DDT"
